country,year,rank,farm,process_group,process,variety,process_family,source_url
Ethiopia,2024,21,Agana,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,22,Zewuditu,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,23,Legesse,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,24,Tamiru,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,25,Ejigu,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,26,Almaz,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,27,Tadess,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Guatemala,2018,1a,La Reforma y Anexos,NA,Washed,Geisha,Washed,https://allianceforcoffeeexcellence.org/guatemala-2018/
Guatemala,2018,2a,El Zapote y Anexos,NA,Washed,Geisha,Washed,https://allianceforcoffeeexcellence.org/guatemala-2018/
Guatemala,2018,3a,El Morito II,NA,Washed,Pacamara,Washed,https://allianceforcoffeeexcellence.org/guatemala-2018/
Guatemala,2018,4,La Soledad y Anexo,NA,Washed,Geisha,Washed,https://allianceforcoffeeexcellence.org/guatemala-2018/
Guatemala,2018,5,Rio Dorado,NA,Natural,Pacamara,Natural,https://allianceforcoffeeexcellence.org/guatemala-2018/
Guatemala,2018,6,El Morito I,NA,Washed,Pacamara,Washed,https://allianceforcoffeeexcellence.org/guatemala-2018/
Guatemala,2018,7,Plan de la Vega,NA,Washed,"Caturra, Pache, Bourbon",Washed,https://allianceforcoffeeexcellence.org/guatemala-2018/
Guatemala,2018,8,Los Aguacatones,NA,Washed,"Caturra, Catuaí, Villa Sarchi, Bourbon",Washed,https://allianceforcoffeeexcellence.org/guatemala-2018/
Guatemala,2018,9,Villaure,NA,Washed,Pacamara,Washed,https://allianceforcoffeeexcellence.org/guatemala-2018/
